"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2004","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.900"
"2003","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.100"
"2002","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","18.400"
"2001","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","17.300"
"2000","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","18.500"
"1999","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","16.200"
"1998","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","21.300"
"1997","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","24.000"
"1996","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.500"
"1995","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.100"
"1994","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.100"
"1993","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.300"
"1992","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.300"
"1991","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","23.400"
"1990","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.900"
"1989","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","23.000"
"1988","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.200"
"1987","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.000"
"1986","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.300"
"1985","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.700"
"1984","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","32.000"
"1983","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.000"
"1982","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.300"
"1981","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.300"
"1980","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.800"
"1979","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","38.900"
"1978","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","40.100"
"1977","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.100"
"1976","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","40.900"
"1975","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","41.300"
"1974","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","44.300"
"1973","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.600"
"1972","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.100"
"1971","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.400"
"1970","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.100"
"2018","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","46.200"
"2017","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","46.800"
"2016","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.000"
"2015","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.400"
"2014","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","46.900"
"2013","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.600"
"2012","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.800"
"2011","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","49.500"
"2010","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.300"
"2009","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","51.000"
"2008","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","43.000"
"2007","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.300"
"2006","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.000"
"2005","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.700"
"2004","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.800"
"2003","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.400"
"2002","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.400"
"2001","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.900"
"2000","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.100"
"1999","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.500"
"1998","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.100"
"1997","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","39.400"
"1996","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.900"
"1995","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.900"
"1994","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.000"
"1993","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.700"
"1992","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.700"
"1991","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.300"
"1990","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.000"
"1989","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.400"
"1988","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.300"
"1987","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.700"
"1986","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.300"
"1985","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.000"
"1984","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","38.400"
"1983","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","40.700"
"1982","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.900"
"1981","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.300"
"1980","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.000"
"1979","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","39.200"
"1978","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","40.900"
"1977","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.000"
"1976","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","46.100"
"1975","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","46.800"
"1974","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","51.500"
"1973","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","54.700"
"1972","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","56.300"
"1971","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","54.600"
"1970","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","54.700"
"2018","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.500"
"2017","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.200"
"2016","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.600"
"2015","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.200"
